Team,Abbv,Colour1,Colour2
Anaheim Ducks,ANA,#91764C,#1E1E1E
Arizona Coyotes,ARI,#812434,#1E1E1E
Boston Bruins,BOS,#FFB81C,#231F20
Buffalo Sabres,BUF,#002654,#FCB514
Calgary Flames,CGY,#E13A3E,#FFC758
Carolina Hurricanes,CAR,#E13A3E,#8E8E91
Chicago Blackhawks,CHI,#CF0A2C,#FF671B
Colorado Avalanche,COL,#8B2942,#005488
Columbus Blue Jackets,CBJ,#00285D,#E13A3E
Dallas Stars,DAL,#005837,#242021
Detroit Red Wings,DET,#E13A3E,#FFFFFF
Edmonton Oilers,EDM,#04026C,#FC521C
Florida Panthers,FLA,#D5A10F,#DD3B3F
Los Angeles Kings,LAK,#233289,#231F20
Minnesota Wild,MIN,#024731,#A71930
Montreal Canadiens,MON,#BF2F38,#003473
Nashville Predators,NSH,#FFB81C,#00285D
New Jersey Devils,NJD,#E13A3E,#231F20
New York Islanders,NYI,#00539B,#F47D30
New York Rangers,NYR,#0060A9,#E13A3E
Ottawa Senators,OTT,#E31736,#221E1F
Philadelphia Flyers,PHI,#F9461C,#1E1E1E
Pittsburgh Penguins,PIT,#000000,#FCB514
San Jose Sharks,SJS,#006D75,#EA7200
St. Louis Blues,STL,#00529B,#FDB827
Tampa Bay Lightning,TBL,#04225C,#FFFFFF
Toronto Maple Leafs,TOR,#003876,#FFFFFF
Vancouver Canucks,VAN,#001F5B,#003E7E
Vegas Golden Knights,VGK,#B4975A,#333F42
Winnipeg Jets,WPG,#041E42,#AC162C
Washington Capitals,WAS,#C8102E,#041E42
